customer_id,age,gender,city,tenure_months,plan_type,ARPU,device_type,primary_site_id
123,48,F,Medan,20,Halo Postpaid,112557,Android Low-End,SITE_0993
124,20,M,Depok,10,OMG 30GB,60107,Android Low-End,SITE_0413
125,57,F,Tangerang,2,Sakti 10GB,22694,Android Mid,SITE_1171
126,54,M,Makassar,27,Data Only 2GB,16648,Feature Phone,SITE_1011
127,56,F,Depok,28,OMG 30GB,78114,Feature Phone,SITE_1155
128,43,M,Bekasi,10,Combo Sakti 50GB,81333,iOS Mid,SITE_0701
129,22,M,Bekasi,1,Data Only 2GB,15320,Android Mid,SITE_0977
130,24,M,Tangerang,25,Sakti 10GB,27453,Android Mid,SITE_0713
131,23,M,Yogyakarta,2,Sakti 10GB,29375,iOS Mid,SITE_0784
132,27,F,Surabaya,7,Combo Sakti 50GB,67904,Android Low-End,SITE_0056
133,49,M,Depok,7,Halo Postpaid,82093,Android Mid,SITE_0727
134,48,M,Surabaya,8,OMG 30GB,51299,Android Flagship,SITE_0940
135,63,F,Depok,24,Sakti 10GB,29614,Android Low-End,SITE_1061
136,38,M,Tangerang,2,Sakti 10GB,24469,Android Low-End,SITE_0791
137,39,M,Medan,25,OMG 30GB,76840,Android Low-End,SITE_0045
138,52,F,Semarang,16,OMG 30GB,78850,Android Mid,SITE_0955
139,50,M,Semarang,11,OMG 30GB,51654,iOS Mid,SITE_0719
140,59,M,Surabaya,23,Combo Sakti 50GB,107937,Android Flagship,SITE_0118
141,55,M,Bandung,50,Sakti 10GB,38596,Android Flagship,SITE_0285
142,37,F,Yogyakarta,19,OMG 30GB,31136,Android Mid,SITE_0475
143,42,F,Jakarta,5,Data Only 2GB,17843,Android Mid,SITE_0237
144,50,M,Bandung,20,Sakti 10GB,30665,iOS Mid,SITE_0550
145,16,M,Semarang,15,OMG 30GB,72294,iOS Mid,SITE_0948
146,50,M,Tangerang,68,OMG 30GB,51771,Feature Phone,SITE_0569
147,52,F,Jakarta,22,Sakti 10GB,21148,Android Low-End,SITE_0982
148,62,M,Makassar,1,Data Only 2GB,17440,Android Flagship,SITE_0116
149,29,F,Surabaya,4,Sakti 10GB,24864,Feature Phone,SITE_0630
150,18,M,Makassar,19,OMG 30GB,70455,iOS Flagship,SITE_0133
151,16,F,Yogyakarta,39,Combo Sakti 50GB,61625,Android Mid,SITE_1034
152,20,F,Makassar,3,Sakti 10GB,23188,Android Mid,SITE_0861
153,41,F,Jakarta,21,Halo Postpaid,124173,Android Mid,SITE_0416
154,29,M,Semarang,15,Sakti 10GB,28474,Android Flagship,SITE_0595
155,54,F,Yogyakarta,11,Combo Sakti 50GB,115104,Android Mid,SITE_0301
156,42,M,Surabaya,3,Data Only 2GB,11301,Android Low-End,SITE_0651
157,24,M,Jakarta,51,Sakti 10GB,30291,iOS Mid,SITE_0185
158,30,M,Tangerang,35,Combo Sakti 50GB,105018,Android Mid,SITE_0004
159,30,F,Makassar,61,Data Only 2GB,16420,Feature Phone,SITE_1144
160,41,F,Jakarta,5,Sakti 10GB,27231,Android Mid,SITE_0812
161,57,M,Yogyakarta,21,Sakti 10GB,31833,Android Mid,SITE_0530
162,28,F,Tangerang,1,Sakti 10GB,31022,Android Low-End,SITE_1193
163,66,M,Tangerang,5,OMG 30GB,74894,Android Low-End,SITE_0471
164,47,F,Depok,38,Halo Postpaid,136581,Android Flagship,SITE_1192
165,54,F,Tangerang,9,OMG 30GB,48629,Android Mid,SITE_0615
166,64,F,Jakarta,6,Combo Sakti 50GB,80465,Feature Phone,SITE_0761
167,67,M,Bandung,19,Sakti 10GB,38937,Android Mid,SITE_0984
168,47,F,Bekasi,26,Data Only 2GB,13772,Android Mid,SITE_0539
169,19,F,Bandung,23,OMG 30GB,43694,Feature Phone,SITE_0671
170,45,F,Bekasi,3,Data Only 2GB,16221,Android Low-End,SITE_0289
171,52,M,Bandung,64,Sakti 10GB,34762,Android Flagship,SITE_0948
172,38,F,Medan,5,Halo Postpaid,110141,Feature Phone,SITE_0929
173,54,F,Medan,63,Combo Sakti 50GB,99324,Android Mid,SITE_1199
174,60,M,Semarang,16,OMG 30GB,71991,Android Low-End,SITE_0280
175,30,M,Yogyakarta,3,Halo Postpaid,133640,Android Low-End,SITE_0563
176,58,M,Yogyakarta,4,Combo Sakti 50GB,124555,Android Mid,SITE_0128
177,44,F,Medan,14,Combo Sakti 50GB,104834,Android Low-End,SITE_0461
178,51,M,Depok,150,Halo Postpaid,79373,Android Mid,SITE_0559
179,28,M,Medan,53,Sakti 10GB,25772,Android Flagship,SITE_0852
180,47,F,Jakarta,95,Halo Postpaid,91631,Android Low-End,SITE_0514
181,22,F,Semarang,15,OMG 30GB,59921,Android Mid,SITE_0010
182,66,M,Bekasi,28,Unlimited Lite,44560,Android Mid,SITE_0004
183,37,M,Makassar,18,Data Only 2GB,17975,Android Flagship,SITE_0249
184,43,F,Medan,1,Data Only 2GB,16791,Android Flagship,SITE_0091
185,17,F,Medan,4,Halo Postpaid,129485,Android Mid,SITE_0642
186,57,M,Jakarta,9,Data Only 2GB,15414,Android Low-End,SITE_1030
187,60,F,Yogyakarta,10,Data Only 2GB,16374,Android Mid,SITE_1143
188,68,M,Jakarta,29,Unlimited Lite,43126,Android Low-End,SITE_0136
189,21,F,Bandung,31,Data Only 2GB,13242,iOS Mid,SITE_0583
190,43,M,Medan,15,OMG 30GB,61779,Android Flagship,SITE_0783
191,43,M,Medan,12,Halo Postpaid,128666,Android Mid,SITE_0158
192,59,M,Surabaya,5,Data Only 2GB,17434,Android Mid,SITE_0507
193,59,M,Tangerang,2,Data Only 2GB,12619,Android Mid,SITE_0855
194,35,F,Bekasi,22,Combo Sakti 50GB,84165,iOS Mid,SITE_0950
195,45,F,Bandung,11,Combo Sakti 50GB,100867,Feature Phone,SITE_0609
196,26,F,Surabaya,16,Sakti 10GB,31888,Android Flagship,SITE_0299
197,43,M,Jakarta,56,OMG 30GB,74963,Android Mid,SITE_0724
198,40,M,Yogyakarta,27,Combo Sakti 50GB,103266,Android Low-End,SITE_0108
199,54,M,Tangerang,37,Combo Sakti 50GB,63864,Android Mid,SITE_0217
200,48,M,Semarang,5,Halo Postpaid,124096,Android Mid,SITE_0097
201,16,F,Bekasi,1,Data Only 2GB,14319,Android Low-End,SITE_0073
202,42,M,Medan,4,Combo Sakti 50GB,84090,Android Flagship,SITE_0641
203,67,F,Surabaya,36,Combo Sakti 50GB,86365,Android Mid,SITE_1175
204,28,F,Semarang,15,OMG 30GB,67318,Android Low-End,SITE_0181
205,56,M,Bekasi,6,Sakti 10GB,25097,Android Mid,SITE_0452
206,18,F,Makassar,79,OMG 30GB,65816,Android Mid,SITE_0847
207,54,M,Bekasi,17,Combo Sakti 50GB,111668,Android Mid,SITE_0220
208,21,M,Bandung,12,Combo Sakti 50GB,109203,Android Mid,SITE_0840
209,23,F,Semarang,91,Combo Sakti 50GB,86145,Android Mid,SITE_1066
210,42,M,Surabaya,4,Combo Sakti 50GB,79946,Android Low-End,SITE_0354
211,24,M,Bandung,22,Sakti 10GB,29976,Feature Phone,SITE_0170
212,52,F,Depok,34,Sakti 10GB,32963,Android Flagship,SITE_1046
213,48,M,Jakarta,68,OMG 30GB,56441,Android Mid,SITE_0916
214,66,F,Bekasi,44,Combo Sakti 50GB,103036,Android Mid,SITE_0405
215,57,M,Semarang,9,OMG 30GB,50341,Android Mid,SITE_0011
216,59,M,Surabaya,8,Combo Sakti 50GB,112303,Android Low-End,SITE_0627
217,39,F,Bandung,3,Combo Sakti 50GB,64845,Android Mid,SITE_0836
218,30,F,Medan,5,Sakti 10GB,27686,Android Low-End,SITE_0787
219,69,M,Surabaya,32,Combo Sakti 50GB,109289,iOS Mid,SITE_0667
220,47,M,Yogyakarta,9,Unlimited Lite,36861,iOS Flagship,SITE_0100
221,47,F,Semarang,14,Unlimited Lite,55468,Android Mid,SITE_0462
222,39,M,Depok,29,OMG 30GB,55348,iOS Flagship,SITE_0516
223,56,F,Tangerang,27,Sakti 10GB,24854,iOS Mid,SITE_0673
224,67,F,Jakarta,38,Unlimited Lite,45204,Android Flagship,SITE_0589
225,64,F,Yogyakarta,2,Data Only 2GB,16667,Android Low-End,SITE_0091
226,64,F,Makassar,21,OMG 30GB,41161,Android Mid,SITE_0403
227,67,F,Makassar,54,OMG 30GB,38377,Android Flagship,SITE_1062
228,27,F,Jakarta,12,OMG 30GB,42293,iOS Flagship,SITE_1189
229,54,F,Surabaya,6,OMG 30GB,58406,Android Mid,SITE_0819
230,17,F,Bekasi,2,Combo Sakti 50GB,99836,Android Mid,SITE_0918
231,18,M,Makassar,68,Halo Postpaid,125141,Android Flagship,SITE_0773
232,64,M,Jakarta,1,Data Only 2GB,15281,Android Low-End,SITE_0943
233,52,F,Yogyakarta,38,Sakti 10GB,29136,Android Mid,SITE_1177
234,64,F,Yogyakarta,8,OMG 30GB,66927,Android Flagship,SITE_0651
235,32,M,Makassar,7,Halo Postpaid,103529,Android Low-End,SITE_0357
236,64,M,Yogyakarta,5,Halo Postpaid,170410,Android Low-End,SITE_0784
237,17,F,Depok,6,Data Only 2GB,20069,Android Low-End,SITE_0295
238,17,F,Surabaya,18,Halo Postpaid,119588,Android Flagship,SITE_0799
239,43,M,Medan,51,Sakti 10GB,29310,iOS Mid,SITE_0974
240,69,F,Depok,11,Halo Postpaid,127118,Android Mid,SITE_0081
241,38,F,Makassar,33,Sakti 10GB,34164,Android Mid,SITE_0439
242,52,F,Bekasi,7,Combo Sakti 50GB,87750,iOS Flagship,SITE_0496
243,47,F,Makassar,57,Halo Postpaid,127841,Feature Phone,SITE_0543
244,48,M,Surabaya,59,Data Only 2GB,14415,Android Mid,SITE_0873
245,16,F,Jakarta,3,Combo Sakti 50GB,101501,Android Flagship,SITE_0148
246,34,F,Semarang,44,Combo Sakti 50GB,76316,Android Mid,SITE_0562
247,17,F,Yogyakarta,30,Sakti 10GB,35155,Android Mid,SITE_1102
248,68,M,Yogyakarta,13,Sakti 10GB,26216,Android Low-End,SITE_0968
249,59,M,Tangerang,44,Sakti 10GB,28689,Android Mid,SITE_0738
250,41,M,Surabaya,57,OMG 30GB,61993,Feature Phone,SITE_0189
251,47,M,Depok,17,OMG 30GB,58584,Android Mid,SITE_0097
252,21,F,Tangerang,18,OMG 30GB,54062,Android Mid,SITE_1198
253,47,F,Medan,30,OMG 30GB,55433,Android Flagship,SITE_1038
254,19,F,Medan,7,Data Only 2GB,16209,Android Mid,SITE_0838
255,26,F,Yogyakarta,2,Sakti 10GB,25323,Android Mid,SITE_0411
256,32,M,Semarang,19,Sakti 10GB,30857,Android Flagship,SITE_0335
257,53,F,Makassar,10,OMG 30GB,63447,Android Flagship,SITE_0947
258,39,F,Depok,4,Sakti 10GB,25233,iOS Mid,SITE_0145
259,20,F,Tangerang,4,Sakti 10GB,24450,Android Mid,SITE_1166
260,67,M,Makassar,6,Unlimited Lite,51677,Android Low-End,SITE_0140
261,49,F,Bandung,10,Combo Sakti 50GB,78656,iOS Flagship,SITE_0130
262,21,F,Surabaya,14,Sakti 10GB,31984,Android Mid,SITE_0470
263,37,M,Makassar,76,Sakti 10GB,16922,Android Mid,SITE_0402
264,26,F,Tangerang,16,Halo Postpaid,139251,Android Mid,SITE_0640
265,63,F,Bandung,59,OMG 30GB,54129,Android Low-End,SITE_0089
266,31,M,Medan,19,OMG 30GB,58869,Android Flagship,SITE_0723
267,48,F,Bandung,5,Halo Postpaid,152021,Android Low-End,SITE_0540
268,24,F,Depok,45,Halo Postpaid,112037,iOS Mid,SITE_0051
269,21,F,Medan,1,OMG 30GB,45855,Android Low-End,SITE_1102
270,31,F,Makassar,20,Unlimited Lite,49672,Android Mid,SITE_1059
271,44,F,Makassar,11,OMG 30GB,77593,Android Mid,SITE_1172
272,18,M,Tangerang,14,OMG 30GB,72240,iOS Flagship,SITE_0732
273,35,M,Semarang,39,Data Only 2GB,14085,Android Low-End,SITE_1163
274,51,F,Depok,1,Data Only 2GB,17948,Android Flagship,SITE_0836
275,34,F,Jakarta,5,OMG 30GB,57595,Android Mid,SITE_0051
276,41,F,Bekasi,41,Halo Postpaid,124912,Android Mid,SITE_0724
277,18,M,Surabaya,19,Combo Sakti 50GB,112170,Android Low-End,SITE_0935
278,34,M,Medan,8,Sakti 10GB,27056,iOS Mid,SITE_0711
279,35,F,Yogyakarta,17,Sakti 10GB,24119,Android Low-End,SITE_1071
280,47,M,Depok,13,Sakti 10GB,23329,Feature Phone,SITE_0376
281,22,F,Makassar,36,Data Only 2GB,21995,Android Mid,SITE_0861
282,67,F,Medan,34,Unlimited Lite,54038,Android Low-End,SITE_0663
283,56,F,Bekasi,15,Data Only 2GB,7791,Android Low-End,SITE_1056
284,48,M,Depok,8,OMG 30GB,75613,Android Mid,SITE_1034
285,55,F,Makassar,1,Data Only 2GB,14009,Android Mid,SITE_1105
286,54,F,Semarang,16,Sakti 10GB,26229,Android Mid,SITE_1037
287,33,M,Semarang,22,Halo Postpaid,100192,iOS Mid,SITE_0797
288,55,M,Depok,23,Sakti 10GB,17734,Android Flagship,SITE_0917
289,16,M,Makassar,49,Sakti 10GB,32320,iOS Mid,SITE_0664
290,26,M,Medan,16,Sakti 10GB,33987,Android Low-End,SITE_0722
291,43,F,Depok,31,Unlimited Lite,43642,Android Mid,SITE_0407
292,40,F,Semarang,4,Data Only 2GB,16445,iOS Flagship,SITE_0366
293,65,F,Depok,35,Combo Sakti 50GB,59329,Android Low-End,SITE_0489
294,38,F,Depok,15,Unlimited Lite,37817,Android Mid,SITE_0733
295,46,F,Surabaya,29,OMG 30GB,59536,Android Low-End,SITE_0608
296,45,M,Medan,44,Sakti 10GB,24968,iOS Mid,SITE_0546
297,57,F,Yogyakarta,8,Combo Sakti 50GB,81358,Android Low-End,SITE_0473
298,50,F,Medan,27,Data Only 2GB,21766,iOS Mid,SITE_0305
299,22,F,Depok,4,OMG 30GB,54184,iOS Mid,SITE_0294
300,31,F,Bekasi,3,OMG 30GB,69610,iOS Mid,SITE_1140
301,41,F,Jakarta,9,Halo Postpaid,108121,Android Mid,SITE_0940
302,63,F,Depok,4,Data Only 2GB,20514,Android Flagship,SITE_1004
303,67,F,Makassar,15,OMG 30GB,34925,Android Flagship,SITE_0195
304,64,M,Yogyakarta,49,Sakti 10GB,30872,Android Low-End,SITE_1049
305,17,F,Jakarta,2,Halo Postpaid,110825,Android Mid,SITE_0774
306,16,F,Bekasi,11,OMG 30GB,55178,Android Mid,SITE_0955
307,63,M,Semarang,6,Unlimited Lite,43009,Android Mid,SITE_0676
308,27,M,Depok,15,OMG 30GB,56326,Android Mid,SITE_0312
309,20,F,Bekasi,25,OMG 30GB,66595,Android Low-End,SITE_0060
310,52,M,Depok,47,Halo Postpaid,127832,Feature Phone,SITE_0973
311,47,M,Yogyakarta,1,OMG 30GB,57699,Android Low-End,SITE_1046
312,24,F,Jakarta,21,OMG 30GB,66438,Android Mid,SITE_0665
313,56,F,Makassar,29,Halo Postpaid,135012,Android Low-End,SITE_0167
314,50,F,Jakarta,4,Sakti 10GB,29135,Android Mid,SITE_0923
315,34,M,Medan,67,Sakti 10GB,41153,Android Mid,SITE_0675
316,63,M,Medan,3,OMG 30GB,68765,Android Flagship,SITE_0103
317,31,M,Bekasi,10,Data Only 2GB,17850,Android Mid,SITE_1015
318,18,M,Makassar,7,Data Only 2GB,15771,Android Flagship,SITE_0176
319,35,M,Depok,2,Sakti 10GB,29767,Android Mid,SITE_0571
320,39,F,Yogyakarta,29,Sakti 10GB,21607,Android Low-End,SITE_0099
321,69,F,Depok,18,Data Only 2GB,16518,Android Mid,SITE_0491
322,48,M,Depok,14,Unlimited Lite,41884,Android Low-End,SITE_0939
323,39,M,Yogyakarta,6,Combo Sakti 50GB,87190,Android Low-End,SITE_1129
324,67,F,Surabaya,15,Data Only 2GB,16878,Android Mid,SITE_0829
325,26,F,Makassar,56,Data Only 2GB,18186,Android Mid,SITE_1115
326,64,M,Bekasi,11,OMG 30GB,55900,iOS Mid,SITE_0761
327,23,F,Bekasi,18,Combo Sakti 50GB,51052,Android Low-End,SITE_0466
328,51,M,Medan,64,Combo Sakti 50GB,105255,Android Low-End,SITE_0832
329,53,M,Depok,29,Data Only 2GB,18213,Android Mid,SITE_0600
330,55,M,Tangerang,2,OMG 30GB,67271,Android Low-End,SITE_0556
331,35,F,Bekasi,10,Combo Sakti 50GB,78519,iOS Mid,SITE_1142
332,50,M,Surabaya,90,Sakti 10GB,28861,Android Flagship,SITE_0780
333,63,M,Bekasi,49,Sakti 10GB,30435,Feature Phone,SITE_0536
334,40,M,Bandung,52,Halo Postpaid,134555,Android Low-End,SITE_0017
335,50,F,Medan,66,Combo Sakti 50GB,82693,Android Mid,SITE_1169
336,40,M,Bandung,25,Sakti 10GB,27232,Android Mid,SITE_0578
337,44,M,Bekasi,37,OMG 30GB,75541,Android Mid,SITE_0172
338,33,M,Medan,26,Halo Postpaid,133994,Android Low-End,SITE_0294
339,61,M,Jakarta,19,Combo Sakti 50GB,98781,Android Flagship,SITE_0237
340,33,M,Tangerang,18,Data Only 2GB,17690,Android Low-End,SITE_0486
341,17,M,Tangerang,1,OMG 30GB,75191,Android Flagship,SITE_0054
342,69,M,Jakarta,7,Sakti 10GB,30785,Android Mid,SITE_0967
343,50,M,Bekasi,1,OMG 30GB,66711,iOS Mid,SITE_0526
344,31,M,Surabaya,15,Sakti 10GB,24958,Android Mid,SITE_0624
345,56,M,Depok,31,Combo Sakti 50GB,98107,Android Mid,SITE_1011
346,51,M,Jakarta,67,Combo Sakti 50GB,84503,Android Mid,SITE_0265
347,48,F,Makassar,1,Sakti 10GB,31349,Android Low-End,SITE_0253
348,19,F,Yogyakarta,17,Sakti 10GB,34854,Android Mid,SITE_0289
349,48,F,Yogyakarta,29,Unlimited Lite,23556,Android Mid,SITE_0009
350,29,F,Bekasi,27,Unlimited Lite,50976,Android Flagship,SITE_0373
351,36,F,Makassar,34,OMG 30GB,46981,iOS Mid,SITE_0196
352,63,F,Tangerang,45,Sakti 10GB,27080,Android Mid,SITE_0629
