customer_id,date,data_usage_gb,voice_minutes,sms_count,app_usage_social_hr,app_usage_gaming_hr
74,7/1/2025,0.73,48,1,1.86,0.3
75,7/1/2025,1.95,38,6,4.89,0.26
76,7/1/2025,10.19,88,11,7.65,0.28
77,7/1/2025,0.54,46,3,13.51,3
78,7/1/2025,6.2,54,6,11.97,0.1
79,7/1/2025,2.78,42,7,0.28,0.79
80,7/1/2025,0.47,52,5,0.26,4.93
81,7/1/2025,1.33,63,7,2.68,1.28
82,7/1/2025,0.59,55,2,0.67,0.14
83,7/1/2025,9.2,76,5,2.29,0.21
84,7/1/2025,3.11,69,4,5.53,0.77
85,7/1/2025,8.59,67,3,4.78,0.47
86,7/1/2025,6.72,58,2,1.35,0.63
87,7/1/2025,5.97,52,9,6.85,1.74
88,7/1/2025,1.31,75,8,4.04,0.29
89,7/1/2025,1.09,45,5,1.2,2.1
90,7/1/2025,13.45,92,2,3.15,1.92
91,7/1/2025,0.94,32,5,0.31,1.15
92,7/1/2025,4.73,47,6,0.75,1.38
93,7/1/2025,5.7,65,2,1.75,1.26
94,7/1/2025,2.49,41,7,3.17,0.05
95,7/1/2025,6.73,74,3,7.34,0.17
96,7/1/2025,5.13,62,2,7.41,4.43
97,7/1/2025,7.84,78,6,1.24,1.27
98,7/1/2025,6.59,62,9,2.05,0.41
99,7/1/2025,1.16,58,7,10.56,0.49
100,7/1/2025,2.28,60,6,2.48,0.14
101,7/1/2025,1.22,46,8,3.89,0.4
102,7/1/2025,10.96,65,6,7.55,0.21
103,7/1/2025,0.92,44,12,0.68,0.14
104,7/1/2025,5.12,41,4,0.34,2.01
105,7/1/2025,1.99,51,9,0.69,0.04
106,7/1/2025,1.01,46,3,1.79,0.5
107,7/1/2025,8.4,91,4,8.88,0.2
108,7/1/2025,2.46,61,1,0,2.34
109,7/1/2025,11.58,72,4,0.79,0.42
110,7/1/2025,25.54,73,6,9.84,0.23
111,7/1/2025,4.08,81,9,1.76,0.15
112,7/1/2025,4.75,51,4,1.19,0.97
113,7/1/2025,12.91,65,3,2.63,0.76
114,7/1/2025,1.09,67,4,7.05,0.39
115,7/1/2025,4.75,48,4,9.72,0.43
116,7/1/2025,1.39,53,7,0.62,0.16
117,7/1/2025,2.54,54,6,1.85,1.4
118,7/1/2025,9.76,74,5,6.43,0.06
119,7/1/2025,1.29,39,2,0.42,1.4
120,7/1/2025,5.4,74,3,1.4,0.38
121,7/1/2025,3.03,57,6,4.42,0.94
122,7/1/2025,1.97,89,3,7.96,0.12
123,7/1/2025,7.5,97,2,9.25,0.58
124,7/1/2025,1.83,61,3,0.94,0.62
125,7/1/2025,1.22,47,5,2.07,1
126,7/1/2025,2.8,44,2,0.67,0.32
127,7/1/2025,20.3,56,6,8.24,0.1
128,7/1/2025,9.71,78,3,7.11,1.64
129,7/1/2025,2.59,48,2,2.02,2.02
130,7/1/2025,1.81,43,3,4.43,0.02
131,7/1/2025,2.01,44,6,0.24,1.07
132,7/1/2025,8.06,66,2,8.68,0.65
133,7/1/2025,10.92,92,2,1.08,0.03
134,7/1/2025,0.71,67,7,0.48,0.51
135,7/1/2025,2.24,53,7,1.05,0.02
136,7/1/2025,1.94,49,8,0.61,1.87
137,7/1/2025,1.36,60,9,2.36,0.24
138,7/1/2025,4.74,51,2,4.97,1.61
139,7/1/2025,1.62,68,3,1.72,0.97
140,7/1/2025,17.25,63,3,1.67,0.17
141,7/1/2025,0.7,49,5,0.46,0.06
142,7/1/2025,5.95,67,7,0.23,1.12
143,7/1/2025,0.6,48,3,2.44,0.11
144,7/1/2025,4.62,61,3,0.99,0.59
145,7/1/2025,3.23,65,6,0.88,0.67
146,7/1/2025,1.26,57,3,1.92,0.3
147,7/1/2025,1.99,55,6,2.13,0.25
148,7/1/2025,2.11,64,8,1.05,0.41
149,7/1/2025,2.7,50,9,0.47,0.63
150,7/1/2025,5.83,61,5,17.42,0.18
151,7/1/2025,7.87,75,5,0.42,0.77
152,7/1/2025,6.73,56,4,4.84,0.6
153,7/1/2025,4.98,90,3,3.19,0.92
154,7/1/2025,1.02,43,4,1.96,0.94
155,7/1/2025,1.73,82,3,0.3,0.76
156,7/1/2025,0.92,40,4,3.51,1.22
157,7/1/2025,1.11,51,2,0.94,0.16
158,7/1/2025,4.6,74,0,7.6,0.34
159,7/1/2025,2.6,48,5,0.16,0.35
160,7/1/2025,0.14,45,5,3.02,1.45
161,7/1/2025,5.16,49,4,0.32,1.37
162,7/1/2025,3.38,47,5,5.46,0.79
163,7/1/2025,13.53,60,5,0.69,0.16
164,7/1/2025,28.33,92,8,2.43,0.66
165,7/1/2025,5.67,58,4,2.04,0.85
166,7/1/2025,1.59,71,8,4.06,0.16
167,7/1/2025,2.96,60,2,2.17,0.4
168,7/1/2025,1.16,48,6,0.07,1.96
169,7/1/2025,4.85,66,7,17,0.98
170,7/1/2025,0.69,48,4,2.41,1.18
171,7/1/2025,3.77,46,4,3.77,2.94
172,7/1/2025,25.1,98,9,3.61,1.47
173,7/1/2025,6.86,61,3,4.56,0.47
174,7/1/2025,1.19,48,2,0.26,0.41
175,7/1/2025,3.75,73,2,4.77,1.23
176,7/1/2025,10.04,67,4,4.38,1.05
177,7/1/2025,9.78,75,6,4.29,0.6
178,7/1/2025,5.73,89,6,1.83,0.44
179,7/1/2025,4.65,53,5,0.22,0.12
180,7/1/2025,6.64,66,9,8.85,1.52
181,7/1/2025,4.06,55,7,1.64,0.19
182,7/1/2025,9.52,53,5,0.03,5.38
183,7/1/2025,1.6,54,8,0.61,2.22
184,7/1/2025,1.17,50,6,1.74,0.35
185,7/1/2025,2.81,86,5,1,0.23
186,7/1/2025,0.76,39,3,0.74,1.44
187,7/1/2025,4.69,46,8,0.07,0.46
188,7/1/2025,1.48,65,6,2.59,1.4
189,7/1/2025,1.78,38,6,3.87,0.43
190,7/1/2025,1.7,86,4,4.92,1.25
191,7/1/2025,2.9,74,8,12.63,0.17
192,7/1/2025,1.52,48,6,1.12,6.54
193,7/1/2025,3.8,38,3,5.27,2.59
194,7/1/2025,2.91,85,6,8.11,0.55
195,7/1/2025,7.17,78,9,0.09,1.04
196,7/1/2025,1.04,45,5,8.64,0.46
197,7/1/2025,3.25,68,9,2.57,1.74
198,7/1/2025,5.88,79,8,4.87,0.94
199,7/1/2025,9.15,74,9,5.19,1.03
200,7/1/2025,16.15,75,5,10.62,1.73
201,7/1/2025,2.76,46,5,0.74,0.42
202,7/1/2025,8.8,88,3,0.95,0.62
203,7/1/2025,6.94,67,4,4.67,0.03
204,7/1/2025,20.92,55,4,6.41,0.41
205,7/1/2025,4.9,49,3,7.12,0.92
206,7/1/2025,4.24,69,3,2.02,2.81
207,7/1/2025,3.26,85,8,7.17,1.71
208,7/1/2025,5.93,70,7,0.15,2.03
209,7/1/2025,10.95,67,4,5.25,0.74
210,7/1/2025,13.57,76,3,14.55,0.03
211,7/1/2025,1.93,55,6,4.14,1
212,7/1/2025,1.62,32,4,1.71,0.41
213,7/1/2025,3.2,68,5,0.15,0.64
214,7/1/2025,3.37,66,6,0.55,0.1
215,7/1/2025,1.81,56,6,1.63,0.43
216,7/1/2025,1.28,72,4,3.35,1.48
217,7/1/2025,7.77,61,6,3.41,1.75
218,7/1/2025,6.18,50,8,4.74,2.06
219,7/1/2025,2.55,68,5,5.71,0.35
220,7/1/2025,15.22,57,6,4.89,0.58
221,7/1/2025,1.91,55,2,7.88,0.51
222,7/1/2025,3.16,61,1,4.08,0.02
223,7/1/2025,3.52,49,4,4.66,0.24
224,7/1/2025,2.91,66,6,3.92,0.56
225,7/1/2025,0.48,34,3,1.28,0.04
226,7/1/2025,3.05,60,4,2.55,0.47
227,7/1/2025,4.64,52,4,1.5,1.13
228,7/1/2025,9.12,68,8,5.73,1.12
229,7/1/2025,3.64,59,6,0.2,0.66
230,7/1/2025,1.5,69,7,8.8,1.02
231,7/1/2025,7.43,78,5,2.38,0.15
232,7/1/2025,0.67,54,5,0.86,1.29
233,7/1/2025,3.49,33,6,0.05,0.16
234,7/1/2025,3.68,74,5,1.26,0.15
235,7/1/2025,3.86,89,4,2.2,0.13
236,7/1/2025,7.38,78,6,4.05,0.07
237,7/1/2025,3.54,57,5,1.34,0.27
238,7/1/2025,6.35,66,8,15.88,0.31
239,7/1/2025,0.58,61,9,1.86,0.02
240,7/1/2025,6.18,90,5,1.11,0.36
241,7/1/2025,7.14,53,8,0.43,0.99
242,7/1/2025,13.12,71,3,4.35,3.08
243,7/1/2025,6.83,70,5,2.67,0.53
244,7/1/2025,2.3,44,8,1.22,1.47
245,7/1/2025,10.96,82,3,15.37,0.07
246,7/1/2025,2.83,68,3,4.45,2.24
247,7/1/2025,0.98,48,3,1.01,0.36
248,7/1/2025,3.04,49,3,0.82,0.87
249,7/1/2025,1.53,56,4,2.94,0.29
250,7/1/2025,10.91,64,2,14.58,0.67
251,7/1/2025,4.73,62,9,4.82,2.21
252,7/1/2025,4.11,43,6,3.52,0.46
253,7/1/2025,7.66,50,3,1.56,1.06
254,7/1/2025,2.45,34,10,0.36,2.9
255,7/1/2025,2.87,51,6,0.27,0.38
256,7/1/2025,2.6,61,4,0.05,0.22
257,7/1/2025,5.46,56,7,4.74,0.77
258,7/1/2025,3.4,50,1,0.43,0.41
259,7/1/2025,3.49,46,3,0.03,0.42
260,7/1/2025,2.95,46,4,2,0.11
261,7/1/2025,8.32,69,3,2.22,0.28
262,7/1/2025,3.34,53,6,2.46,1.64
263,7/1/2025,0.58,38,6,0.73,0.03
264,7/1/2025,2.92,95,7,1.08,0.47
265,7/1/2025,5.53,76,8,4.66,1.54
266,7/1/2025,25.22,67,3,1.01,0.74
267,7/1/2025,6.42,98,8,5.97,1.37
268,7/1/2025,6.56,87,3,5.31,1.67
269,7/1/2025,7.28,57,8,1.62,0.58
270,7/1/2025,1.25,65,2,6.97,0.58
271,7/1/2025,1.59,52,6,1.55,0.28
272,7/1/2025,0.05,56,4,6.29,1.53
273,7/1/2025,0.16,52,6,2.56,0.58
274,7/1/2025,0.48,40,5,0.68,1.12
275,7/1/2025,1.77,69,9,0.09,0.3
276,7/1/2025,5.39,86,8,0.97,1.49
277,7/1/2025,6.83,82,7,18.27,1.57
278,7/1/2025,4.74,53,2,2.87,0.41
279,7/1/2025,2.23,48,2,0.6,0.26
280,7/1/2025,0.68,43,5,1.06,1.25
281,7/1/2025,1.16,44,2,0.03,2.47
282,7/1/2025,6.47,46,7,3.21,0.55
283,7/1/2025,4.14,44,5,3.69,0.94
284,7/1/2025,4.23,73,5,0.42,0.13
285,7/1/2025,2.98,41,5,1.03,1.15
286,7/1/2025,2.11,52,8,2.23,0.15
287,7/1/2025,13.65,82,3,24.1,0.42
288,7/1/2025,2.5,58,4,2.05,2.33
289,7/1/2025,7.51,55,2,13.07,0.2
290,7/1/2025,2.97,57,3,1.25,1.71
291,7/1/2025,7.9,48,1,4.6,0.64
292,7/1/2025,5.37,41,8,0.49,0.54
293,7/1/2025,9.55,55,3,2.23,0.54
294,7/1/2025,6.92,48,3,2.99,1.83
295,7/1/2025,7.56,71,2,1.67,0.51
296,7/1/2025,3.9,48,4,0.66,0.42
297,7/1/2025,9.82,64,1,20.28,0.24
298,7/1/2025,0.53,42,4,3.16,0.8
299,7/1/2025,2.66,60,6,5.08,0.04
300,7/1/2025,1.3,57,6,8.11,0.39
301,7/1/2025,5.08,65,3,7.9,1.39
302,7/1/2025,8.09,41,2,0.21,1.15
303,7/1/2025,3.13,66,9,2.15,2.17
304,7/1/2025,2.95,43,7,3.21,0.44
305,7/1/2025,6.15,68,3,3.57,0.13
306,7/1/2025,8.25,60,3,3.56,0.39
307,7/1/2025,5.71,58,9,20.78,0.23
308,7/1/2025,8.72,77,7,8.87,0.53
309,7/1/2025,12.71,51,6,13.95,1.15
310,7/1/2025,3.91,87,5,2.7,0.72
311,7/1/2025,0.68,67,5,5.15,0.8
312,7/1/2025,1.54,60,6,2.86,2.86
313,7/1/2025,4.34,63,3,8.37,0.09
314,7/1/2025,1.86,53,7,2.88,1.37
315,7/1/2025,2.07,48,8,4.14,0.44
316,7/1/2025,5.85,62,7,3.21,2.74
317,7/1/2025,1.1,44,10,5.68,0.67
318,7/1/2025,0.27,42,2,0.58,0.12
319,7/1/2025,1.62,48,3,0.29,0.84
320,7/1/2025,1.39,57,10,1.4,0.77
321,7/1/2025,1.1,49,9,0.37,1.31
322,7/1/2025,1.17,63,7,2.24,0.01
323,7/1/2025,7.81,66,1,6.48,0.98
324,7/1/2025,0.85,45,8,1.7,0.98
325,7/1/2025,7.67,43,7,5.52,0.09
326,7/1/2025,5.49,54,6,2.89,1.15
327,7/1/2025,3.24,78,6,0.53,0
328,7/1/2025,3.19,57,4,6.6,1.38
329,7/1/2025,4.11,42,3,0.05,0.91
330,7/1/2025,3.57,73,6,4.26,1.92
331,7/1/2025,5.59,66,4,1.98,1.4
332,7/1/2025,1.51,44,5,3.38,0.01
333,7/1/2025,1.52,48,2,3.57,0.7
334,7/1/2025,17.04,74,3,0.35,0.36
335,7/1/2025,7.38,71,2,4.36,0.65
336,7/1/2025,1.07,58,4,2.96,0.9
337,7/1/2025,2.82,61,7,0.96,0.26
338,7/1/2025,0.84,85,9,12.56,5.18
339,7/1/2025,0.73,61,10,0.81,0.33
340,7/1/2025,1.41,38,6,1.89,0.03
341,7/1/2025,5.89,57,1,2.39,0.09
342,7/1/2025,3.26,50,5,0.73,0.15
343,7/1/2025,1.68,71,9,0.94,1.72
344,7/1/2025,1.64,52,4,1.17,0.14
345,7/1/2025,16.7,88,5,0.59,0.49
346,7/1/2025,4.93,72,7,7.22,0.74
347,7/1/2025,8.93,44,3,7.94,0.08
348,7/1/2025,4.14,50,4,1.3,0.8
349,7/1/2025,2.66,54,7,14.13,0.68
350,7/1/2025,7.49,60,5,7.5,0.88
351,7/1/2025,4.53,76,1,2.32,2.82
352,7/1/2025,2.05,45,6,0.5,1.58
353,7/1/2025,2.21,46,6,0.27,0.95
354,7/1/2025,1.96,62,10,3.52,1.79
355,7/1/2025,2.35,51,6,5.34,4.29
356,7/1/2025,3.29,64,5,3.45,1.98
357,7/1/2025,8.62,71,7,10.23,0.06
358,7/1/2025,4.05,66,4,17.43,1.4
359,7/1/2025,0.99,43,1,8.62,3.1
360,7/1/2025,4.44,56,3,8.74,0.8
361,7/1/2025,6.4,51,8,2.31,1
362,7/1/2025,3.18,74,4,3.98,0.96
363,7/1/2025,2.09,59,7,1.61,0.02
364,7/1/2025,0.29,37,0,0.08,0.46
365,7/1/2025,1.85,33,5,1.08,0.04
366,7/1/2025,7.77,41,2,7,0.39
367,7/1/2025,4.04,71,3,3.97,1.28
368,7/1/2025,4.49,77,5,2.84,0.91
369,7/1/2025,8.92,56,5,5.46,0.03
370,7/1/2025,3.61,66,10,3.21,3.52
371,7/1/2025,3.71,69,4,11.76,0.44
372,7/1/2025,5.22,70,5,8.73,2.27
373,7/1/2025,0.51,52,8,1.87,1.76
374,7/1/2025,3.1,34,5,0.22,1
375,7/1/2025,5.29,50,4,2.03,0.32
376,7/1/2025,13.48,49,7,3.09,0.19
377,7/1/2025,5.38,50,3,2.13,0.44
378,7/1/2025,2.37,53,6,13.49,0.52
379,7/1/2025,2.7,76,1,1.31,0.66
380,7/1/2025,4.84,52,6,6.65,0.39
381,7/1/2025,1.94,55,3,1.5,0.37
382,7/1/2025,2.14,64,7,1.23,0.7
383,7/1/2025,2.46,81,10,0.34,0.87
384,7/1/2025,10.32,83,3,0.13,0.34
385,7/1/2025,8,88,5,21.31,0.03
386,7/1/2025,2.59,62,7,0.57,0.78
387,7/1/2025,0.54,47,3,0.52,0.48
388,7/1/2025,1.07,59,5,2.51,0.03
389,7/1/2025,0.66,34,11,0.47,2
390,7/1/2025,1.14,45,4,2.35,2.2
391,7/1/2025,7.66,59,7,2.21,0.82
392,7/1/2025,3.77,54,4,2.12,1.15
393,7/1/2025,10.32,74,3,0.29,0.07
394,7/1/2025,1.36,61,8,2.31,0.47
395,7/1/2025,8.74,77,8,1.54,0.73
396,7/1/2025,2.33,79,4,17.67,0.47
397,7/1/2025,1.34,68,3,0.09,1.31
398,7/1/2025,1.49,75,1,2.16,0.22
399,7/1/2025,3.69,41,3,0.79,1.98
400,7/1/2025,3.66,59,10,2.41,0.05
401,7/1/2025,3.58,65,4,10.54,0.47
402,7/1/2025,2.41,67,6,2.49,2.23
403,7/1/2025,1.45,45,6,0.9,1.8
404,7/1/2025,6.35,74,1,2.97,1.75
405,7/1/2025,6.71,85,2,3.91,0.02
406,7/1/2025,3.02,49,4,1.26,2.45
407,7/1/2025,2.52,47,7,2.37,0.63
408,7/1/2025,1.17,53,9,5.97,3.49
409,7/1/2025,7.54,59,2,1.52,0.82
410,7/1/2025,3.95,51,9,17.41,0.03
411,7/1/2025,0.65,36,5,0.24,0.34
412,7/1/2025,2.97,50,5,2.92,1.92
413,7/1/2025,2.65,56,6,1.32,0.83
414,7/1/2025,4.59,67,3,2.99,0.04
415,7/1/2025,2.54,67,3,11.06,3.12
416,7/1/2025,6.54,70,9,13,0.87
417,7/1/2025,10.39,74,2,1.68,0.04
418,7/1/2025,1.46,72,8,3.6,0.16
419,7/1/2025,4.86,56,5,1.74,0.25
420,7/1/2025,1.92,55,3,1.65,0.05
421,7/1/2025,7.04,80,10,1.57,1.52
422,7/1/2025,11.09,91,5,12.18,1.33
423,7/1/2025,3.3,85,5,3.9,0.16
424,7/1/2025,3.46,60,11,1.24,0.04
425,7/1/2025,5.6,59,9,6.95,1.45
426,7/1/2025,1.13,66,5,4.2,0.42
427,7/1/2025,7.32,40,5,17.8,0.97
428,7/1/2025,13.64,65,5,0.12,0.12
429,7/1/2025,19.58,54,6,0.17,0.27
430,7/1/2025,2.14,47,5,0.44,0.81
431,7/1/2025,4.18,29,4,0.13,0.17
432,7/1/2025,6.29,56,3,6.08,0.49
433,7/1/2025,11.36,60,2,6.97,3.37
434,7/1/2025,7.85,60,4,5.22,0.01
435,7/1/2025,6.78,72,4,1.97,0.38
436,7/1/2025,2,38,5,2.7,0.18
437,7/1/2025,3.75,65,5,6.76,0.53
438,7/1/2025,0.29,31,5,11.51,1.78
439,7/1/2025,4.15,79,6,9.46,0.68
440,7/1/2025,4.35,56,1,9.89,1.4
441,7/1/2025,6.57,64,2,1.13,0.41
442,7/1/2025,1.85,60,5,4.75,1.41
443,7/1/2025,4.49,54,13,3.41,1.86
444,7/1/2025,2.58,32,7,1.78,0.67
445,7/1/2025,5.12,54,4,11.13,0.06
446,7/1/2025,11.57,64,8,0.14,2.56
447,7/1/2025,4.04,52,0,2.82,0.07
448,7/1/2025,7.55,65,2,3.45,0.15
449,7/1/2025,2,51,5,1.3,0.01
450,7/1/2025,5.84,44,5,5.1,0.1
451,7/1/2025,2.65,70,6,5.92,0.05
452,7/1/2025,2.63,52,1,1.04,0.98
453,7/1/2025,1.71,47,6,1.79,0.13
454,7/1/2025,3.81,53,8,2.77,0.9
455,7/1/2025,1.35,55,8,0.39,0.41
456,7/1/2025,2.22,58,5,1.04,2.25
457,7/1/2025,5.07,71,3,6.78,1.69
458,7/1/2025,2.68,59,5,4.75,2.23
459,7/1/2025,7.01,53,6,0.52,0.17
460,7/1/2025,1.76,59,5,0.99,1.2
461,7/1/2025,6.15,50,8,1.64,0.86
462,7/1/2025,0.26,47,9,3.24,1.14
463,7/1/2025,6.71,78,7,5.14,1.56
464,7/1/2025,1.43,49,3,0.03,1.44
465,7/1/2025,5.14,48,3,0.49,0.29
466,7/1/2025,1.42,60,4,7.51,1.59
467,7/1/2025,7.11,53,3,0.24,3.39
468,7/1/2025,0.39,46,5,6.38,1.2
469,7/1/2025,4.03,60,5,2.32,4.56
470,7/1/2025,1.37,50,7,1.15,1.19
471,7/1/2025,6.77,63,11,2.32,0.34
472,7/1/2025,3.85,56,4,4.53,0.15
473,7/1/2025,1.52,67,11,3.79,5.37
474,7/1/2025,4.2,65,3,4.17,0.03
475,7/1/2025,7.37,68,3,1.19,0.65
476,7/1/2025,0.83,39,7,1.82,1.25
477,7/1/2025,4.98,56,6,2.26,2.69
478,7/1/2025,1.91,54,4,3.02,0.11
479,7/1/2025,10.96,78,4,1.65,0.72
480,7/1/2025,0.11,48,12,4.63,2.72
481,7/1/2025,6.71,70,1,0.28,1.07
482,7/1/2025,15.03,64,7,0.2,0.12
483,7/1/2025,1.45,56,2,0.33,0.39
484,7/1/2025,2.37,77,5,8.76,0.21
485,7/1/2025,15.6,50,5,1.84,0.04
486,7/1/2025,7.59,49,8,1.44,0.01
487,7/1/2025,3.5,48,9,0.08,0.93
488,7/1/2025,1.34,39,7,0.7,0.32
489,7/1/2025,1.34,37,9,2.53,0.11
490,7/1/2025,5.81,61,6,11.83,0.05
491,7/1/2025,4.1,70,5,3.39,0.2
492,7/1/2025,1.42,51,2,1.39,0.13
493,7/1/2025,2.56,61,8,1.98,0.51
494,7/1/2025,0.85,48,6,0.05,0.44
495,7/1/2025,4.46,66,6,0.27,2.24
496,7/1/2025,4.16,55,4,0.55,0.09
497,7/1/2025,1.69,56,4,2.65,1.29
498,7/1/2025,2.94,48,5,4.88,3.54
499,7/1/2025,5.5,42,7,0.06,2.04
500,7/1/2025,0.66,61,6,6,0.09
501,7/1/2025,1.19,53,7,2.63,3.28
502,7/1/2025,6.25,64,1,8.34,2.38
503,7/1/2025,1.06,49,8,6.37,0.6
504,7/1/2025,2.79,46,5,1.61,3.74
505,7/1/2025,1.58,57,6,1.41,0.84
506,7/1/2025,2.87,47,6,0.37,0.05
507,7/1/2025,4.01,71,3,3.45,0.35
508,7/1/2025,0.94,66,8,0.74,0.13
509,7/1/2025,5.64,64,5,5.52,0.12
510,7/1/2025,2.17,43,3,1.19,1.68
511,7/1/2025,2.97,48,4,2.61,2.04
512,7/1/2025,11.25,69,4,3.88,2.5
513,7/1/2025,0.62,64,5,0.39,1.06
514,7/1/2025,1.56,53,6,2.79,0.9
515,7/1/2025,2.33,81,3,9.81,1.28
516,7/1/2025,9.81,64,3,3.37,1.44
517,7/1/2025,3.12,53,3,6.6,1.16
518,7/1/2025,4.97,80,4,19.91,0.71
519,7/1/2025,0.39,45,5,0.48,1.45
520,7/1/2025,2.27,50,5,0.98,1.42
521,7/1/2025,6.35,67,8,0.51,1.32
522,7/1/2025,13.05,43,5,2.44,0.72
523,7/1/2025,5.14,70,5,1.98,0.17
524,7/1/2025,6.26,54,4,5.18,0.11
525,7/1/2025,5.15,77,7,3.51,0.91
526,7/1/2025,3.07,61,4,4.27,1.82
527,7/1/2025,0.45,43,5,1.85,1.41
528,7/1/2025,2.93,52,3,0.5,0.69
529,7/1/2025,4.36,61,6,4.35,0.02
530,7/1/2025,5.27,61,3,2.16,0.06
531,7/1/2025,1.15,42,6,3.75,1.36
532,7/1/2025,6.4,55,4,4.16,0.17
533,7/1/2025,3.95,50,7,2.18,0.44
534,7/1/2025,10.34,71,6,5.16,0.09
535,7/1/2025,1.95,67,5,1.55,0.45
536,7/1/2025,3.97,66,11,0.46,0.68
537,7/1/2025,1.95,54,3,2.21,0.56
538,7/1/2025,7.01,46,4,0.77,0
539,7/1/2025,4.79,65,2,1.73,0.21
540,7/1/2025,2.69,61,4,0.91,0.59
541,7/1/2025,12.15,77,2,1.31,1.5
542,7/1/2025,7.83,59,6,2.82,0.48
543,7/1/2025,8.89,54,11,5.8,0.05
544,7/1/2025,1.56,38,3,0.12,0.29
545,7/1/2025,6.53,68,4,9.74,3.35
546,7/1/2025,11.35,62,5,7.65,1.19
547,7/1/2025,23.39,71,2,1.17,1.63
548,7/1/2025,1.43,53,4,0.22,0.47
549,7/1/2025,2.02,54,7,0.33,0.18
550,7/1/2025,0.67,43,4,6.26,1.13
551,7/1/2025,4.05,42,11,2.17,0.38
552,7/1/2025,5.88,50,3,1.84,1.74
553,7/1/2025,3.27,54,4,3.7,3.03
554,7/1/2025,2.48,51,4,2.41,0.55
555,7/1/2025,14.63,91,10,3.1,0.62
556,7/1/2025,6.34,60,5,2.15,0.49
557,7/1/2025,3.43,63,4,0.49,0.87
558,7/1/2025,7.45,75,6,2.35,0.24
