customer_id,complaint_date,complaint_type,resolution_time_hours,resolved
4087,2025-09-05,app_issue,19,0
17890,2025-08-01,wa_call_issue,18,1
16608,2025-07-31,app_issue,18,0
14111,2025-09-26,coverage,48,1
27595,2025-08-29,coverage,15,1
23791,2025-07-04,internet_speed,35,1
486,2025-09-12,app_issue,11,0
15103,2025-09-01,coverage,27,1
3299,2025-09-26,voice_call,48,1
21412,2025-09-11,wa_call_issue,29,1
29973,2025-09-10,voice_call,35,0
19374,2025-09-03,voice_call,13,1
21934,2025-08-06,handover,22,1
26649,2025-07-10,internet_speed,25,1
2955,2025-09-16,internet_speed,17,0
5788,2025-07-29,internet_speed,7,1
20798,2025-07-25,internet_speed,23,1
10846,2025-09-20,handover,38,0
25245,2025-09-07,billing,44,1
26969,2025-08-10,sms_issue,3,1
20293,2025-09-17,coverage,3,1
769,2025-07-03,app_issue,24,1
13881,2025-08-08,coverage,22,1
21786,2025-07-03,app_issue,22,1
3249,2025-09-15,coverage,15,1
22240,2025-08-18,app_issue,29,0
24320,2025-07-16,coverage,34,1
1841,2025-08-04,voice_call,30,1
7673,2025-07-24,sms_issue,42,1
10943,2025-08-06,app_issue,15,1
14852,2025-09-08,coverage,16,1
22437,2025-07-14,internet_speed,21,1
27834,2025-09-25,billing,44,1
19665,2025-09-27,coverage,47,1
15078,2025-08-18,voice_call,21,1
18453,2025-07-03,internet_speed,20,0
29544,2025-07-08,voice_call,22,1
3905,2025-07-31,internet_speed,22,1
22620,2025-07-16,app_issue,20,0
8873,2025-07-23,voice_call,34,1
19777,2025-09-02,internet_speed,10,1
2797,2025-09-05,sms_issue,15,0
17005,2025-08-16,voice_call,55,1
8703,2025-08-17,internet_speed,4,1
7121,2025-07-19,internet_speed,11,1
22247,2025-09-17,coverage,21,0
27680,2025-07-18,coverage,23,1
3690,2025-08-30,billing,46,1
20582,2025-08-06,voice_call,35,1
4581,2025-09-19,internet_speed,18,1
5387,2025-08-30,billing,53,1
15356,2025-07-08,internet_speed,32,1
23085,2025-07-07,wa_call_issue,17,1
15250,2025-07-21,app_issue,46,1
5380,2025-09-20,app_issue,17,1
25309,2025-09-23,handover,16,1
21277,2025-07-16,billing,54,0
1609,2025-08-27,coverage,38,1
29046,2025-08-13,wa_call_issue,11,1
2937,2025-08-31,wa_call_issue,2,1
23589,2025-07-07,voice_call,20,0
19323,2025-08-08,internet_speed,14,1
11970,2025-07-29,voice_call,42,0
19893,2025-09-26,handover,22,1
13011,2025-09-03,coverage,33,1
2799,2025-09-25,internet_speed,11,0
25990,2025-07-24,coverage,9,1
18051,2025-07-24,voice_call,11,1
27710,2025-07-11,sms_issue,39,1
28697,2025-09-01,billing,47,1
8301,2025-07-26,internet_speed,33,1
13991,2025-07-31,internet_speed,16,1
26126,2025-07-23,internet_speed,17,0
4389,2025-08-17,voice_call,14,1
21082,2025-07-05,voice_call,20,1
27253,2025-08-25,wa_call_issue,40,0
11216,2025-08-26,wa_call_issue,5,1
1815,2025-09-24,app_issue,31,1
20154,2025-09-12,internet_speed,32,1
23851,2025-07-19,voice_call,31,0
26653,2025-09-23,billing,57,1
29402,2025-09-07,voice_call,9,0
1789,2025-09-29,voice_call,0,0
14414,2025-08-04,voice_call,29,0
20407,2025-07-10,internet_speed,32,1
12051,2025-07-04,app_issue,45,1
7938,2025-07-19,app_issue,32,1
20661,2025-09-20,coverage,41,0
8073,2025-08-08,sms_issue,22,1
8999,2025-09-28,voice_call,31,1
26918,2025-08-02,wa_call_issue,32,0
1011,2025-09-26,app_issue,25,1
16559,2025-07-13,billing,60,1
7871,2025-07-11,app_issue,45,1
22474,2025-09-22,billing,54,1
3820,2025-08-31,coverage,40,1
27447,2025-09-13,internet_speed,29,1
18790,2025-08-13,coverage,17,1
6531,2025-07-24,billing,38,1
27712,2025-07-07,app_issue,26,1
6532,2025-08-29,internet_speed,4,0
23567,2025-07-02,wa_call_issue,32,1
4568,2025-08-25,wa_call_issue,6,1
10166,2025-08-06,billing,41,0
24796,2025-08-24,handover,10,1
25772,2025-07-13,coverage,20,1
8837,2025-08-07,app_issue,31,1
16692,2025-09-14,coverage,16,1
27836,2025-09-03,internet_speed,33,1
21388,2025-08-05,coverage,10,1
16074,2025-08-07,internet_speed,24,1
13362,2025-09-17,internet_speed,18,0
20037,2025-07-23,billing,29,1
24210,2025-07-13,internet_speed,18,1
24343,2025-09-04,coverage,34,1
2632,2025-08-08,voice_call,22,1
2816,2025-07-31,internet_speed,25,1
29240,2025-08-12,internet_speed,19,0
17027,2025-09-06,voice_call,28,1
22178,2025-09-21,billing,61,1
742,2025-07-29,internet_speed,8,1
26396,2025-09-13,internet_speed,29,1
19083,2025-07-26,coverage,22,0
6523,2025-09-12,coverage,51,1
165,2025-07-12,billing,34,1
26317,2025-09-13,wa_call_issue,25,1
17929,2025-09-22,wa_call_issue,34,1
19830,2025-07-30,wa_call_issue,17,1
25857,2025-07-13,billing,46,1
19282,2025-08-23,coverage,20,1
24808,2025-08-17,coverage,26,1
15935,2025-08-30,internet_speed,28,1
2453,2025-07-15,internet_speed,31,1
23777,2025-09-24,internet_speed,53,1
228,2025-07-10,app_issue,17,1
1224,2025-09-20,coverage,24,1
10353,2025-08-20,internet_speed,30,1
15579,2025-09-23,wa_call_issue,24,1
7105,2025-07-07,internet_speed,25,1
11140,2025-08-08,coverage,28,1
4566,2025-08-20,internet_speed,29,1
12587,2025-08-16,wa_call_issue,11,1
27130,2025-07-18,billing,65,1
13143,2025-08-10,handover,15,1
11563,2025-09-30,voice_call,15,1
8580,2025-08-24,voice_call,23,0
25633,2025-09-27,voice_call,20,1
8632,2025-07-30,internet_speed,24,0
10266,2025-07-21,coverage,5,1
4461,2025-08-05,billing,67,1
23155,2025-07-18,coverage,24,1
18210,2025-07-13,coverage,23,1
16068,2025-09-05,wa_call_issue,14,1
16655,2025-07-16,voice_call,25,1
18726,2025-08-03,billing,45,1
21193,2025-07-24,billing,56,1
22098,2025-07-24,internet_speed,21,0
1882,2025-07-26,sms_issue,11,1
25854,2025-08-18,voice_call,29,1
25280,2025-09-06,app_issue,32,0
12217,2025-07-28,handover,23,1
11942,2025-08-28,internet_speed,25,1
4035,2025-08-21,internet_speed,19,1
3422,2025-07-14,coverage,20,1
29584,2025-07-07,internet_speed,12,1
12645,2025-07-03,coverage,21,1
19312,2025-09-18,wa_call_issue,25,1
14967,2025-09-12,coverage,24,1
14604,2025-07-15,voice_call,12,1
7515,2025-07-19,voice_call,26,1
20421,2025-08-17,voice_call,25,1
26949,2025-08-17,coverage,31,1
21846,2025-09-22,coverage,12,0
4640,2025-07-20,billing,56,1
16419,2025-08-01,internet_speed,1,0
10644,2025-07-21,internet_speed,17,1
3903,2025-08-29,sms_issue,8,1
6829,2025-07-14,coverage,10,1
3211,2025-07-22,wa_call_issue,31,1
7675,2025-08-02,voice_call,49,1
22513,2025-07-21,wa_call_issue,19,1
24118,2025-08-05,coverage,6,1
9392,2025-07-30,voice_call,1,1
13668,2025-08-31,coverage,24,1
28364,2025-08-15,internet_speed,21,1
25555,2025-07-26,internet_speed,37,1
9108,2025-08-07,coverage,33,1
19608,2025-07-01,coverage,31,0
17130,2025-07-17,coverage,28,1
16840,2025-09-01,internet_speed,10,1
14809,2025-09-20,internet_speed,13,1
27450,2025-08-14,wa_call_issue,14,1
11410,2025-08-01,app_issue,47,1
11911,2025-08-11,coverage,20,1
8622,2025-08-20,coverage,55,1
24809,2025-07-17,coverage,18,1
14910,2025-09-03,voice_call,3,1
29297,2025-09-22,handover,34,0
25825,2025-09-03,voice_call,30,1
28237,2025-08-05,sms_issue,10,1
28401,2025-09-16,coverage,27,1
11255,2025-07-17,wa_call_issue,26,1
16945,2025-08-28,wa_call_issue,3,1
29042,2025-09-22,coverage,24,1
11662,2025-09-28,voice_call,30,1
7639,2025-07-31,coverage,8,0
2591,2025-09-30,internet_speed,11,1
21802,2025-07-17,app_issue,33,1
24044,2025-09-06,coverage,5,0
17229,2025-08-17,coverage,25,1
1702,2025-09-18,voice_call,29,1
6589,2025-07-13,app_issue,12,1
16789,2025-09-14,internet_speed,38,0
14915,2025-09-06,coverage,14,0
7830,2025-09-11,internet_speed,22,1
12254,2025-07-23,internet_speed,37,1
26721,2025-07-23,voice_call,7,1
24736,2025-08-10,wa_call_issue,31,1
12269,2025-07-22,voice_call,29,1
15343,2025-09-28,wa_call_issue,10,1
15242,2025-09-23,internet_speed,21,0
18498,2025-08-10,internet_speed,15,1
24915,2025-07-11,voice_call,24,1
25956,2025-08-27,internet_speed,22,1
27980,2025-07-21,voice_call,18,1
1215,2025-08-19,sms_issue,34,1
11341,2025-07-21,coverage,23,1
18413,2025-09-08,coverage,18,1
27834,2025-08-07,voice_call,28,0
8740,2025-08-29,voice_call,30,1
21636,2025-08-07,voice_call,9,1
26786,2025-09-22,coverage,23,1
8651,2025-08-14,coverage,20,0
4427,2025-07-08,voice_call,21,0
7043,2025-09-02,voice_call,8,0
18244,2025-09-26,coverage,23,0
5860,2025-07-06,internet_speed,21,1
23186,2025-09-14,voice_call,17,1
460,2025-08-10,internet_speed,10,0
14076,2025-07-28,voice_call,22,1
3108,2025-09-22,coverage,14,1
1495,2025-07-24,voice_call,31,1
16462,2025-09-08,coverage,12,1
7964,2025-08-13,wa_call_issue,23,1
19138,2025-07-07,coverage,18,1
12510,2025-07-26,voice_call,28,1
8341,2025-07-26,coverage,30,0
9629,2025-08-08,coverage,21,1
16341,2025-08-16,internet_speed,28,0
19213,2025-07-13,internet_speed,31,0
15349,2025-07-31,coverage,2,0
10679,2025-07-02,internet_speed,38,0
16357,2025-09-01,billing,47,1
2555,2025-08-21,app_issue,37,1
8336,2025-07-02,sms_issue,27,0
3248,2025-08-22,internet_speed,14,1
16291,2025-07-29,wa_call_issue,6,0
16157,2025-07-01,internet_speed,33,0
21862,2025-09-15,internet_speed,28,1
18075,2025-08-15,voice_call,26,1
4560,2025-09-21,internet_speed,17,1
16149,2025-09-26,internet_speed,39,1
26999,2025-09-09,coverage,27,1
19318,2025-08-13,wa_call_issue,29,1
11473,2025-07-25,wa_call_issue,26,1
21575,2025-09-05,coverage,28,1
23430,2025-09-28,billing,41,1
16563,2025-09-04,billing,46,1
8247,2025-08-13,app_issue,30,1
15177,2025-09-30,internet_speed,28,0
21006,2025-07-14,coverage,18,1
5609,2025-07-28,handover,22,1
9738,2025-07-08,app_issue,35,1
20397,2025-09-21,coverage,12,1
17572,2025-08-20,internet_speed,30,1
12999,2025-09-22,coverage,14,0
15510,2025-08-13,coverage,53,1
20775,2025-08-05,internet_speed,1,0
16043,2025-07-16,voice_call,13,1
21068,2025-08-04,app_issue,6,1
1253,2025-09-03,internet_speed,18,1
3326,2025-09-30,billing,54,1
19294,2025-09-28,internet_speed,32,0
17575,2025-09-24,voice_call,21,0
27359,2025-09-13,internet_speed,8,0
26203,2025-07-07,app_issue,4,1
24323,2025-09-12,wa_call_issue,28,1
23498,2025-09-12,internet_speed,13,0
24795,2025-07-20,wa_call_issue,24,1
19222,2025-08-17,coverage,8,1
1029,2025-09-08,coverage,33,0
18577,2025-09-10,voice_call,27,1
11590,2025-09-25,coverage,24,1
12840,2025-07-06,coverage,27,1
1830,2025-09-16,sms_issue,31,1
3204,2025-07-28,internet_speed,18,1
25174,2025-08-26,app_issue,7,1
1820,2025-08-29,voice_call,22,1
15173,2025-08-30,coverage,16,0
16347,2025-09-04,coverage,15,1
5974,2025-09-23,billing,48,0
1166,2025-09-04,coverage,21,0
6087,2025-08-02,internet_speed,2,1
22962,2025-09-05,internet_speed,21,1
28021,2025-08-07,app_issue,30,1
13237,2025-07-03,internet_speed,19,1
8049,2025-08-23,voice_call,30,1
21946,2025-09-11,internet_speed,20,1
29272,2025-08-10,coverage,33,1
35,2025-08-29,internet_speed,41,1
22577,2025-07-15,handover,13,1
1745,2025-08-11,coverage,34,1
16273,2025-08-28,coverage,15,1
26775,2025-08-29,coverage,13,1
19663,2025-07-21,coverage,18,0
19817,2025-09-18,coverage,46,1
9757,2025-07-01,internet_speed,24,1
1946,2025-09-10,coverage,10,0
19232,2025-08-29,billing,41,1
26186,2025-08-07,voice_call,40,0
27275,2025-07-26,sms_issue,7,1
21857,2025-07-13,handover,28,1
17565,2025-07-17,voice_call,19,1
2466,2025-08-04,coverage,20,1
15813,2025-08-29,coverage,31,0
5894,2025-09-26,coverage,3,1
14945,2025-07-02,billing,28,0
267,2025-08-02,internet_speed,14,1
12098,2025-07-03,voice_call,25,0
4318,2025-09-15,coverage,25,0
14837,2025-07-17,coverage,41,1
4361,2025-07-04,app_issue,12,1
6250,2025-09-01,coverage,34,0
13041,2025-09-06,sms_issue,31,1
7071,2025-09-12,coverage,9,1
27257,2025-08-18,voice_call,9,1
16200,2025-08-31,internet_speed,25,1
17587,2025-08-27,app_issue,33,0
11853,2025-09-18,app_issue,6,1
26275,2025-07-14,billing,53,0
26780,2025-08-25,coverage,43,0
22444,2025-08-11,sms_issue,34,1
5703,2025-09-04,coverage,17,1
22207,2025-09-21,internet_speed,28,1
25534,2025-09-19,coverage,23,1
14632,2025-08-30,voice_call,35,1
11545,2025-08-14,sms_issue,38,1
2515,2025-08-18,coverage,21,0
4011,2025-07-04,billing,51,1
14785,2025-09-12,coverage,30,1
16852,2025-09-11,internet_speed,31,0
5204,2025-08-27,app_issue,21,1
16161,2025-08-30,coverage,38,1
14539,2025-07-27,internet_speed,22,0
27545,2025-08-21,handover,23,1
19590,2025-08-11,internet_speed,30,0
24473,2025-07-09,internet_speed,41,1
24095,2025-08-02,internet_speed,24,1
24564,2025-09-03,internet_speed,19,1
12820,2025-09-14,sms_issue,41,1
1527,2025-07-14,wa_call_issue,15,0
30,2025-09-08,wa_call_issue,5,1
17262,2025-08-10,internet_speed,22,1
22110,2025-09-20,internet_speed,8,1
3415,2025-08-25,wa_call_issue,16,1
4138,2025-08-16,voice_call,21,1
29659,2025-09-28,coverage,12,0
17464,2025-09-02,internet_speed,35,1
6454,2025-07-08,billing,52,1
9509,2025-07-29,voice_call,30,1
27537,2025-09-01,internet_speed,4,1
19156,2025-09-24,coverage,15,1
5557,2025-09-20,billing,26,1
18609,2025-09-17,internet_speed,39,1
3778,2025-07-05,app_issue,4,1
28005,2025-08-07,app_issue,37,1
23979,2025-07-14,app_issue,25,1
29226,2025-07-26,coverage,16,1
4795,2025-07-03,internet_speed,36,1
664,2025-09-08,app_issue,29,1
12459,2025-09-18,voice_call,49,0
24806,2025-09-13,voice_call,37,1
5639,2025-07-27,coverage,15,1
4195,2025-09-04,internet_speed,19,0
19946,2025-09-05,internet_speed,52,1
25649,2025-09-09,voice_call,40,1
5747,2025-08-13,internet_speed,13,1
12676,2025-08-04,coverage,24,1
6871,2025-09-21,coverage,17,0
24787,2025-08-14,coverage,21,1
12453,2025-08-25,voice_call,14,1
10656,2025-07-15,coverage,28,0
11439,2025-08-01,internet_speed,46,1
15666,2025-07-30,billing,47,1
11205,2025-09-13,voice_call,21,0
2540,2025-07-30,handover,17,0
4673,2025-07-11,app_issue,28,1
8573,2025-09-26,app_issue,50,1
8891,2025-09-14,coverage,38,1
21476,2025-07-22,voice_call,7,0
12170,2025-09-26,internet_speed,26,1
22831,2025-08-01,billing,44,1
16544,2025-09-06,coverage,21,1
2459,2025-07-01,voice_call,24,1
18406,2025-08-27,coverage,20,0
7556,2025-08-11,voice_call,35,1
4137,2025-07-01,billing,29,1
17518,2025-07-17,internet_speed,17,1
11598,2025-07-06,handover,4,1
16253,2025-08-03,coverage,2,1
10800,2025-07-02,internet_speed,23,1
13111,2025-07-08,coverage,10,1
22215,2025-07-10,voice_call,34,1
5146,2025-08-12,billing,64,1
11940,2025-08-19,wa_call_issue,32,1
2769,2025-08-17,voice_call,11,0
14894,2025-07-01,internet_speed,14,1
28710,2025-07-27,coverage,16,1
500,2025-09-08,app_issue,38,1
9936,2025-07-19,wa_call_issue,27,0
21042,2025-07-25,internet_speed,17,0
28851,2025-08-03,coverage,6,1
28872,2025-08-03,voice_call,25,1
17494,2025-08-31,app_issue,27,1
3079,2025-07-14,voice_call,30,0
3774,2025-08-17,voice_call,11,0
17991,2025-09-01,internet_speed,22,1
18624,2025-08-24,internet_speed,24,1
12220,2025-07-10,wa_call_issue,29,0
9238,2025-08-06,billing,58,1
9039,2025-08-27,billing,52,1
7719,2025-09-14,wa_call_issue,6,0
10361,2025-07-31,billing,33,1
11135,2025-09-17,sms_issue,22,0
23225,2025-09-02,sms_issue,32,1
5940,2025-09-27,coverage,18,0
3939,2025-08-06,app_issue,33,0
25064,2025-08-13,internet_speed,25,1
18565,2025-07-04,internet_speed,11,1
24574,2025-08-12,internet_speed,50,0
24137,2025-09-02,app_issue,12,1
5153,2025-09-02,internet_speed,35,1
5209,2025-08-08,internet_speed,14,0
12522,2025-07-03,internet_speed,12,1
8617,2025-07-18,internet_speed,54,1
3086,2025-09-25,app_issue,32,0
10976,2025-08-19,wa_call_issue,24,1
572,2025-09-17,wa_call_issue,31,1
28613,2025-08-12,coverage,12,0
20740,2025-08-22,app_issue,14,1
15674,2025-07-27,app_issue,38,0
24042,2025-07-29,internet_speed,11,1
8940,2025-07-09,internet_speed,2,0
13138,2025-08-01,coverage,22,1
13704,2025-09-10,app_issue,21,1
12602,2025-09-19,sms_issue,36,1
22483,2025-08-16,internet_speed,7,1
26555,2025-09-13,coverage,26,1
28276,2025-07-06,wa_call_issue,29,1
27002,2025-09-28,handover,39,0
9209,2025-07-01,coverage,28,1
108,2025-07-07,internet_speed,27,1
27518,2025-08-24,app_issue,45,1
12676,2025-07-27,handover,22,1
29635,2025-07-23,app_issue,7,1
2825,2025-07-08,coverage,45,0
23340,2025-08-28,internet_speed,29,1
21618,2025-09-14,internet_speed,22,0
18023,2025-09-18,billing,54,1
9264,2025-09-13,voice_call,33,0
19754,2025-07-01,app_issue,40,0
1544,2025-07-22,billing,46,1
19421,2025-09-17,wa_call_issue,21,1
26960,2025-07-16,coverage,34,1
15881,2025-07-30,voice_call,5,0
16088,2025-07-24,coverage,36,1
1647,2025-08-27,internet_speed,31,1
5625,2025-07-30,billing,38,0
22011,2025-08-13,coverage,32,1
1113,2025-07-02,coverage,60,1
26920,2025-09-03,coverage,19,0
29531,2025-08-07,internet_speed,20,0
18240,2025-08-17,voice_call,39,1
12452,2025-08-26,app_issue,33,1
4609,2025-08-16,internet_speed,17,1
18045,2025-07-28,app_issue,7,1
29529,2025-09-24,billing,45,1
9839,2025-09-09,coverage,23,1
17569,2025-07-11,coverage,19,1
26073,2025-08-07,handover,25,1
21008,2025-08-18,voice_call,37,0
12942,2025-09-09,voice_call,19,0
17762,2025-09-03,coverage,42,0
10149,2025-09-13,coverage,21,1
13864,2025-07-17,internet_speed,21,1
12386,2025-07-22,voice_call,23,1
19400,2025-07-04,app_issue,6,1
13101,2025-08-06,internet_speed,40,1
22804,2025-07-10,internet_speed,20,1
10159,2025-09-15,internet_speed,15,0
20523,2025-09-03,internet_speed,27,0
2732,2025-09-06,handover,19,1
22395,2025-07-09,internet_speed,20,0
24815,2025-08-12,coverage,22,1
22456,2025-07-21,billing,55,1
11802,2025-07-18,voice_call,20,1
28067,2025-09-12,coverage,41,1
3652,2025-07-16,wa_call_issue,16,1
11947,2025-08-01,internet_speed,22,1
17765,2025-07-20,internet_speed,21,1
13768,2025-08-18,sms_issue,15,1
23926,2025-09-16,billing,30,0
10610,2025-08-08,voice_call,13,1
21313,2025-07-21,internet_speed,23,1
4428,2025-07-30,coverage,13,1
29388,2025-08-25,voice_call,15,1
2330,2025-09-08,internet_speed,10,1
5532,2025-09-15,internet_speed,37,1
3255,2025-08-26,internet_speed,27,0
18443,2025-08-23,billing,55,1
6748,2025-08-26,coverage,31,1
13500,2025-09-11,internet_speed,6,1
1437,2025-09-30,coverage,38,1
301,2025-09-14,internet_speed,37,1
17500,2025-09-24,internet_speed,31,1
22145,2025-07-27,internet_speed,10,0
18167,2025-08-01,internet_speed,28,1
18197,2025-08-08,billing,40,1
3140,2025-07-30,coverage,28,1
28736,2025-08-25,wa_call_issue,17,1
16409,2025-07-05,coverage,19,1
13732,2025-08-30,coverage,23,1
17171,2025-07-15,sms_issue,20,1
25246,2025-08-26,handover,7,1
11777,2025-09-21,voice_call,4,0
5671,2025-09-14,internet_speed,8,1
28520,2025-08-19,coverage,41,1
5537,2025-07-22,voice_call,33,1
20838,2025-08-14,internet_speed,11,1
13754,2025-09-07,coverage,15,1
5473,2025-09-29,internet_speed,43,1
23109,2025-08-12,coverage,26,1
13036,2025-08-03,billing,38,0
2566,2025-07-20,voice_call,24,1
6979,2025-08-01,internet_speed,16,0
15167,2025-08-31,app_issue,49,1
17176,2025-08-26,handover,4,0
13722,2025-07-31,coverage,29,1
1652,2025-09-28,app_issue,23,1
21078,2025-07-31,coverage,30,1
8089,2025-07-04,voice_call,28,1
6025,2025-07-08,billing,70,1
23795,2025-08-04,coverage,17,0
27620,2025-07-02,wa_call_issue,40,1
24786,2025-08-26,voice_call,39,1
12884,2025-08-20,internet_speed,27,0
20314,2025-07-26,coverage,9,1
19806,2025-08-28,internet_speed,40,1
25132,2025-09-09,coverage,20,1
2047,2025-07-11,voice_call,4,1
25870,2025-09-06,internet_speed,17,1
13914,2025-07-31,internet_speed,17,1
257,2025-09-28,internet_speed,19,0
23702,2025-07-07,internet_speed,33,1
28296,2025-09-24,billing,64,0
3032,2025-07-27,app_issue,0,1
14900,2025-07-01,internet_speed,37,0
25228,2025-08-18,internet_speed,27,1
10549,2025-09-06,coverage,32,1
14279,2025-07-10,app_issue,11,1
18308,2025-08-21,internet_speed,31,1
18179,2025-09-27,app_issue,26,1
15470,2025-08-30,internet_speed,15,1
26119,2025-09-12,billing,60,1
21835,2025-08-09,handover,40,1
26103,2025-08-15,app_issue,30,1
6681,2025-07-28,internet_speed,17,1
10263,2025-09-27,internet_speed,25,1
19630,2025-09-22,internet_speed,4,1
13578,2025-07-23,voice_call,27,0
10423,2025-08-07,coverage,24,1
5801,2025-07-11,wa_call_issue,11,0
7593,2025-09-24,internet_speed,23,1
21035,2025-09-01,internet_speed,47,1
20652,2025-09-15,sms_issue,24,1
15755,2025-08-26,coverage,20,1
19897,2025-07-13,coverage,22,0
4652,2025-07-25,coverage,43,1
23575,2025-07-22,app_issue,30,1
3256,2025-09-03,voice_call,2,1
15634,2025-09-01,voice_call,32,1
5286,2025-07-06,voice_call,22,0
9979,2025-08-28,internet_speed,23,1
22821,2025-08-24,wa_call_issue,10,1
11380,2025-08-23,internet_speed,26,1
3068,2025-08-31,coverage,29,1
508,2025-08-24,voice_call,9,1
520,2025-08-27,coverage,34,1
624,2025-07-07,billing,44,1
13020,2025-09-05,internet_speed,34,1
21118,2025-08-28,wa_call_issue,28,0
10287,2025-08-27,voice_call,22,1
2478,2025-09-18,coverage,27,1
18306,2025-08-02,internet_speed,22,1
24092,2025-08-19,coverage,29,1
20037,2025-08-02,handover,25,0
19382,2025-07-29,voice_call,32,1
23004,2025-08-19,coverage,39,1
23899,2025-07-27,billing,30,1
19489,2025-08-29,internet_speed,11,1
11792,2025-08-11,sms_issue,39,1
1258,2025-07-25,billing,59,0
3499,2025-09-13,coverage,22,1
14839,2025-09-26,coverage,29,1
6567,2025-08-30,internet_speed,5,1
22433,2025-09-15,coverage,22,1
29008,2025-09-06,voice_call,19,1
28032,2025-07-03,voice_call,26,1
28184,2025-08-25,internet_speed,43,1
3719,2025-08-21,wa_call_issue,27,1
11340,2025-08-30,internet_speed,35,0
5665,2025-09-13,coverage,17,1
26241,2025-08-11,coverage,6,1
19619,2025-07-21,coverage,16,1
10166,2025-08-06,app_issue,34,1
6477,2025-08-16,app_issue,26,1
11694,2025-07-08,wa_call_issue,29,0
27240,2025-09-26,sms_issue,31,1
11750,2025-08-15,voice_call,28,1
11916,2025-09-16,coverage,26,1
25409,2025-07-28,app_issue,14,0
6500,2025-09-08,app_issue,0,1
14664,2025-09-13,internet_speed,46,1
